date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:40:22	15523/15523	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2008:40:22%20GMT	https://ruin.lol/9	C:/My%20Web%20Sites/ruin%20owner/ruin.lol/9.html	(from )
03:40:22	1032/1032	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2008:40:23%20GMT	https://ruin.lol/robots.txt		(from )
03:40:23	217017/217017	---M--	200	added ('OK')	image/png	etag:%2264ce40570f024b3438b43f60870575a3%22	https://r2.ruin.lol/VGLxn4jRO8cej7XH.png	C:/My%20Web%20Sites/ruin%20owner/r2.ruin.lol/VGLxn4jRO8cej7XH.png	(from https://ruin.lol/9)
03:40:23	4109/4109	---M-Z	200	added ('OK')	text/css	etag:%22100d-61a43ca4c54b9-gzip%22	https://ruin.lol/src/bio2.css?1719218422	C:/My%20Web%20Sites/ruin%20owner/ruin.lol/src/bio25db3.css	(from https://ruin.lol/9)
03:40:23	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:%2264ed75bb-76fe%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.7.1/jquery.min.js	C:/My%20Web%20Sites/ruin%20owner/cdnjs.cloudflare.com/ajax/libs/jquery/3.7.1/jquery.min.js	(from https://ruin.lol/9)
03:40:23	5251/5251	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ffe-1483%22	https://cdnjs.cloudflare.com/ajax/libs/toastr.js/2.1.4/toastr.min.js	C:/My%20Web%20Sites/ruin%20owner/cdnjs.cloudflare.com/ajax/libs/toastr.js/2.1.4/toastr.min.js	(from https://ruin.lol/9)
03:40:24	55139/55139	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d763-3k9IIExUySw/kvIDnHJn5mghCss%22	https://cdn.jsdelivr.net/gh/StephanWagner/jBox@v1.3.2/dist/jBox.all.min.js	C:/My%20Web%20Sites/ruin%20owner/cdn.jsdelivr.net/gh/StephanWagner/jBox@v1.3.2/dist/jBox.all.min.js	(from https://ruin.lol/9)
03:40:24	22960/22960	---M-Z	200	added ('OK')	text/css	etag:%2259b0-617b4aa937c87-gzip%22	https://ruin.lol/src/tooltips.css	C:/My%20Web%20Sites/ruin%20owner/ruin.lol/src/tooltips.css	(from https://ruin.lol/9)
03:40:24	40588/40588	---M--	200	added ('OK')	image/png	etag:%22665ce751-9e8c%22	https://files.catbox.moe/swsip1.png	C:/My%20Web%20Sites/ruin%20owner/files.catbox.moe/swsip1.png	(from https://ruin.lol/9)
03:40:25	32049/32049	---M--	200	added ('OK')	image/png	etag:%22665ce4a4-7d31%22	https://files.catbox.moe/vcoq65.png	C:/My%20Web%20Sites/ruin%20owner/files.catbox.moe/vcoq65.png	(from https://ruin.lol/9)
03:40:25	850/850	---M-Z	200	added ('OK')	text/javascript	etag:%22352-617b4aaab272d-gzip%22	https://ruin.lol/src/js/bio.js?1719218422	C:/My%20Web%20Sites/ruin%20owner/ruin.lol/src/js/bio5db3.js	(from https://ruin.lol/9)
03:40:25	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2008:40:26%20GMT	https://ruin.lol/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/My%20Web%20Sites/ruin%20owner/ruin.lol/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://ruin.lol/9)
03:40:25	7934/7934	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2024%20Jun%202024%2008:40:26%20GMT	https://ruin.lol/cdn-cgi/challenge-platform/h/b/scripts/jsd/c7e29c8c8b6e/main.js	C:/My%20Web%20Sites/ruin%20owner/ruin.lol/cdn-cgi/challenge-platform/h/b/scripts/jsd/c7e29c8c8b6e/main.js	(from https://ruin.lol/9)
03:40:25	6204/6204	---M-Z	200	added ('OK')	text/javascript	etag:%22183c-617b4aaaa0dec-gzip%22	https://ruin.lol/src/js/cursorEffects.js	C:/My%20Web%20Sites/ruin%20owner/ruin.lol/src/js/cursorEffects.js	(from https://ruin.lol/9)
